species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us,exp,exp_error,residual
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,11.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,4.545454545454545,7.102272727272727,7.102272727272727,0.0,2066115.702479339,563486100676.1832,2066115.702479339,111.0,177476.37295695557,7355.201545779551,0.45454545454545453,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\8ec43aead0ab2f50f6.json,1024,111.0,0.0112191473448017,0.0028804759015377,-0.0112191473448017
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,22.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,2.2727272727272725,3.5511363636363633,3.5511363636363633,0.0,516528.92561983474,70435762584.5229,516528.92561983474,122.0,177476.37295695557,7355.201545779551,0.22727272727272727,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\c62d01d2791dcb038a.json,1024,122.0,0.0088235294117647,0.0025358712884396,-0.0088235294117647
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,33.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,1.5151515151515151,2.367424242424242,2.367424242424242,0.0,229568.41138659327,20869855580.59939,229568.41138659327,133.0,177476.37295695557,7355.201545779551,0.15151515151515152,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\6653b6938120ab489e.json,1024,133.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,44.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,1.1363636363636362,1.7755681818181817,1.7755681818181817,0.0,129132.23140495869,8804470323.065363,129132.23140495869,144.0,177476.37295695557,7355.201545779551,0.11363636363636363,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\d831a7b7d5d8010f17.json,1024,144.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,55.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.9090909090909091,1.4204545454545454,1.4204545454545454,0.0,82644.62809917357,4507888805.409467,82644.62809917357,155.0,177476.37295695557,7355.201545779551,0.09090909090909091,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\de864f001a29e05b4c.json,1024,155.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,66.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.7575757575757576,1.183712121212121,1.183712121212121,0.0,57392.10284664832,2608731947.5749235,57392.10284664832,166.0,177476.37295695557,7355.201545779551,0.07575757575757576,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\9091f62cd0bef4b683.json,1024,166.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,77.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.6493506493506492,1.0146103896103895,1.0146103896103895,0.0,42165.62658121099,1642816620.0471816,42165.62658121099,177.0,177476.37295695557,7355.201545779551,0.06493506493506493,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\2c947ce4459bb86546.json,1024,177.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,88.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.5681818181818181,0.8877840909090908,0.8877840909090908,0.0,32283.05785123967,1100558790.3831704,32283.05785123967,188.0,177476.37295695557,7355.201545779551,0.056818181818181816,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\9c091cdee0d249c67a.json,1024,188.0,0.0010775862068965,0.001077005454385,-0.0010775862068965
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,99.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.5050505050505051,0.789141414141414,0.789141414141414,0.0,25507.601265177025,772957614.0962734,25507.601265177025,199.0,177476.37295695557,7355.201545779551,0.050505050505050504,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\0cd44937c6371b290d.json,1024,199.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,5.0,x,zero_jerk,50.0,110.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.45454545454545453,0.7102272727272727,0.7102272727272727,0.0,20661.157024793392,563486100.6761833,20661.157024793392,210.0,177476.37295695557,7355.201545779551,0.045454545454545456,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\afc0a4f97bb091b9b7.json,1024,210.0,0.0,0.0,0.0
