species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us,exp,exp_error,residual
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,11.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,4.545454545454545,8.522727272727272,8.522727272727272,0.0,2385744.9140067194,2253944402704.733,0.0,111.0,177476.37295695557,7355.201545779551,0.18181818181818182,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\ed1d0d2c62664452b2.json,1024,111.0,0.0102714600146735,0.0027310283529994,-0.0102714600146735
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,22.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,2.2727272727272725,4.261363636363636,4.261363636363636,0.0,596436.2285016798,281743050338.0916,0.0,122.0,177476.37295695557,7355.201545779551,0.09090909090909091,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\4f9c14da0ce75fbe38.json,1024,122.0,0.0053435114503816,0.0020142542301394,-0.0053435114503816
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,33.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,1.5151515151515151,2.840909090909091,2.840909090909091,0.0,265082.7682229689,83479422322.39755,0.0,133.0,177476.37295695557,7355.201545779551,0.06060606060606061,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\2811cf33b6633eccbb.json,1024,133.0,0.0022865853658536,0.001318650482668,-0.0022865853658536
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,44.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,1.1363636363636362,2.130681818181818,2.130681818181818,0.0,149109.05712541996,35217881292.26145,0.0,144.0,177476.37295695557,7355.201545779551,0.045454545454545456,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\bad931b570999abe2c.json,1024,144.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,55.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.9090909090909091,1.7045454545454546,1.7045454545454546,0.0,95429.7965602688,18031555221.637867,0.0,155.0,177476.37295695557,7355.201545779551,0.03636363636363636,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\d01dfdf96db06a05fa.json,1024,155.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,66.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.7575757575757576,1.4204545454545454,1.4204545454545454,0.0,66270.69205574223,10434927790.299694,0.0,166.0,177476.37295695557,7355.201545779551,0.030303030303030304,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\613171ce70ddd02018.json,1024,166.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,77.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.6493506493506492,1.2175324675324675,1.2175324675324675,0.0,48688.671714422846,6571266480.188726,0.0,177.0,177476.37295695557,7355.201545779551,0.025974025974025976,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\01d343ca5d18cfd20c.json,1024,177.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,88.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.5681818181818181,1.065340909090909,1.065340909090909,0.0,37277.26428135499,4402235161.532681,0.0,188.0,177476.37295695557,7355.201545779551,0.022727272727272728,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\067ced39d5dc44031b.json,1024,188.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,99.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.5050505050505051,0.9469696969696969,0.9469696969696969,0.0,29453.640913663206,3091830456.3850937,0.0,199.0,177476.37295695557,7355.201545779551,0.020202020202020204,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\5e512875ca2f76d8ea.json,1024,199.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,min_jerk,50.0,110.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.45454545454545453,0.8522727272727273,0.8522727272727273,0.0,23857.4491400672,2253944402.7047334,0.0,210.0,177476.37295695557,7355.201545779551,0.01818181818181818,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\c2a1cedf3ddb6c7dfa.json,1024,210.0,0.0,0.0,0.0
